iter	Passed	Remaining
0	104	52370
1	201	50053
2	288	47714
3	399	49574
4	500	49515
5	605	49819
6	717	50509
7	836	51435
8	939	51278
9	1059	51935
10	1185	52679
11	1311	53338
12	1427	53466
13	1528	53054
14	1643	53125
15	1728	52279
16	1822	51787
17	1944	52058
18	2089	52902
19	2208	53002
20	2315	52817
21	2462	53501
22	2581	53539
23	2688	53320
24	2815	53501
25	2948	53748
26	3096	54250
27	3235	54547
28	3370	54743
29	3481	54548
30	3605	54543
31	3696	54059
32	3813	53964
33	3927	53830
34	4056	53889
35	4208	54248
36	4336	54260
37	4460	54231
38	4587	54229
39	4707	54134
40	4818	53949
41	4948	53963
42	5092	54122
43	5221	54110
44	5346	54059
45	5481	54097
46	5592	53899
47	5718	53849
48	5826	53629
49	5955	53603
50	6078	53512
51	6201	53429
52	6282	52983
53	6406	52911
54	6523	52783
55	6675	52930
56	6822	53026
57	6945	52927
58	7084	52954
59	7222	52967
60	7307	52591
61	7456	52679
62	7558	52430
63	7678	52307
64	7793	52159
65	7902	51966
66	8002	51718
67	8164	51866
68	8298	51832
69	8420	51725
70	8529	51538
71	8649	51416
72	8781	51365
73	8896	51216
74	9020	51114
75	9141	50997
76	9295	51066
77	9416	50944
78	9514	50702
79	9615	50480
80	9746	50417
81	9845	50188
82	9937	49926
83	10072	49883
84	10229	49945
85	10374	49942
86	10487	49783
87	10622	49733
88	10771	49744
89	10891	49615
90	11025	49553
91	11182	49589
92	11318	49534
93	11438	49402
94	11547	49230
95	11694	49214
96	11824	49126
97	11892	48782
98	12034	48745
99	12187	48748
100	12297	48580
101	12417	48452
102	12559	48407
103	12694	48335
104	12791	48119
105	12889	47909
106	13009	47782
107	13132	47667
108	13250	47531
109	13363	47378
110	13511	47351
111	13642	47262
112	13754	47107
113	13881	47003
114	14005	46887
115	14169	46904
116	14301	46816
117	14413	46659
118	14546	46572
119	14673	46465
120	14810	46389
121	14960	46352
122	15107	46304
123	15235	46196
124	15357	46072
125	15482	45954
126	15595	45804
127	15733	45724
128	15848	45578
129	15996	45528
130	16125	45423
131	16244	45288
132	16348	45113
133	16505	45081
134	16619	44933
135	16756	44848
136	16873	44709
137	16994	44581
138	17133	44498
139	17287	44454
140	17419	44351
141	17557	44264
142	17677	44131
143	17757	43900
144	17890	43799
145	18014	43678
146	18135	43549
147	18262	43435
148	18404	43356
149	18520	43215
150	18650	43107
151	18761	42954
152	18888	42839
153	19018	42729
154	19143	42610
155	19272	42499
156	19410	42407
157	19565	42349
158	19677	42202
159	19818	42113
160	19945	41997
161	20063	41860
162	20207	41779
163	20321	41634
164	20437	41494
165	20580	41408
166	20702	41281
167	20802	41109
168	20932	40998
169	21079	40918
170	21209	40807
171	21337	40690
172	21461	40565
173	21583	40438
174	21729	40355
175	21845	40215
176	21972	40096
177	22079	39941
178	22215	39839
179	22349	39732
180	22461	39587
181	22583	39459
182	22736	39385
183	22904	39335
184	23016	39190
185	23176	39125
186	23317	39029
187	23452	38921
188	23593	38823
189	23716	38695
190	23844	38574
191	23972	38456
192	24116	38362
193	24231	38221
194	24348	38083
195	24454	37929
196	24573	37795
197	24712	37692
198	24842	37575
199	24950	37425
200	25088	37320
201	25200	37177
202	25318	37041
203	25414	36876
204	25537	36749
205	25671	36638
206	25790	36504
207	25942	36419
208	26050	36271
209	26200	36181
210	26331	36065
211	26452	35935
212	26587	35824
213	26705	35690
214	26832	35568
215	26949	35433
216	27072	35307
217	27218	35208
218	27350	35093
219	27448	34934
220	27610	34856
221	27757	34759
222	27905	34662
223	28029	34536
224	28140	34393
225	28307	34320
226	28412	34170
227	28543	34051
228	28671	33929
229	28784	33790
230	28900	33654
231	29041	33548
232	29179	33437
233	29282	33286
234	29398	33151
235	29549	33055
236	29698	32956
237	29823	32831
238	29947	32704
239	30080	32586
240	30205	32461
241	30325	32331
242	30448	32202
243	30610	32115
244	30744	31999
245	30859	31862
246	31012	31765
247	31121	31623
248	31228	31478
249	31342	31342
250	31449	31199
251	31586	31084
252	31722	30969
253	31846	30843
254	31992	30737
255	32118	30612
256	32237	30480
257	32360	30353
258	32468	30211
259	32603	30095
260	32738	29979
261	32856	29846
262	32998	29736
263	33143	29628
264	33256	29491
265	33389	29372
266	33531	29261
267	33683	29158
268	33797	29023
269	33914	28889
270	34059	28780
271	34191	28660
272	34314	28532
273	34430	28399
274	34558	28274
275	34676	28143
276	34783	28002
277	34902	27871
278	35028	27746
279	35139	27609
280	35249	27472
281	35390	27358
282	35532	27245
283	35674	27132
284	35808	27013
285	35928	26883
286	36045	26751
287	36175	26628
288	36286	26493
289	36418	26372
290	36543	26246
291	36658	26113
292	36785	25988
293	36876	25838
294	36995	25708
295	37116	25580
296	37236	25451
297	37364	25327
298	37498	25208
299	37613	25075
300	37729	24943
301	37845	24812
302	37959	24679
303	38073	24547
304	38207	24427
305	38335	24304
306	38476	24189
307	38617	24073
308	38732	23941
309	38867	23821
310	38991	23695
311	39143	23586
312	39276	23465
313	39386	23330
314	39521	23210
315	39619	23069
316	39769	22958
317	39922	22848
318	40035	22716
319	40161	22590
320	40282	22463
321	40383	22323
322	40514	22201
323	40670	22092
324	40786	21962
325	40915	21838
326	41075	21730
327	41197	21603
328	41348	21491
329	41465	21360
330	41594	21236
331	41689	21095
332	41803	20964
333	41926	20837
334	42045	20709
335	42193	20594
336	42317	20468
337	42430	20336
338	42566	20215
339	42709	20098
340	42840	19975
341	42975	19854
342	43151	19751
343	43287	19630
344	43426	19510
345	43579	19396
346	43690	19263
347	43813	19136
348	43986	19031
349	44127	18911
350	44250	18784
351	44372	18656
352	44521	18540
353	44653	18416
354	44811	18303
355	44917	18168
356	45041	18041
357	45172	17917
358	45311	17796
359	45428	17666
360	45552	17539
361	45703	17422
362	45839	17300
363	45959	17171
364	46075	17041
365	46209	16918
366	46321	16786
367	46437	16657
368	46540	16522
369	46662	16394
370	46798	16272
371	46921	16145
372	47072	16027
373	47180	15894
374	47304	15768
375	47445	15646
376	47590	15526
377	47702	15395
378	47829	15270
379	47962	15146
380	48097	15022
381	48278	14913
382	48426	14793
383	48568	14671
384	48678	14540
385	48799	14412
386	48909	14280
387	49051	14159
388	49207	14041
389	49336	13915
390	49440	13782
391	49548	13651
392	49674	13524
393	49834	13407
394	49960	13280
395	50121	13163
396	50251	13037
397	50357	12905
398	50495	12781
399	50620	12655
400	50747	12528
401	50865	12399
402	50976	12269
403	51114	12146
404	51234	12018
405	51365	11892
406	51507	11769
407	51643	11645
408	51776	11519
409	51902	11393
410	52012	11263
411	52180	11145
412	52304	11018
413	52408	10886
414	52531	10759
415	52666	10634
416	52777	10504
417	52872	10372
418	52995	10244
419	53129	10119
420	53277	9997
421	53413	9872
422	53524	9743
423	53673	9620
424	53820	9497
425	53957	9372
426	54114	9251
427	54239	9124
428	54362	8997
429	54486	8869
430	54588	8739
431	54719	8613
432	54847	8486
433	54985	8361
434	55115	8235
435	55246	8109
436	55362	7981
437	55519	7858
438	55645	7732
439	55784	7606
440	55896	7478
441	56022	7351
442	56160	7226
443	56335	7105
444	56491	6982
445	56640	6857
446	56772	6731
447	56890	6603
448	57009	6475
449	57135	6348
450	57268	6222
451	57395	6095
452	57562	5972
453	57680	5844
454	57811	5717
455	57927	5589
456	58057	5462
457	58176	5334
458	58305	5208
459	58434	5081
460	58549	4953
461	58681	4826
462	58791	4698
463	58922	4571
464	59031	4443
465	59142	4315
466	59279	4188
467	59427	4063
468	59564	3937
469	59690	3810
470	59803	3682
471	59923	3554
472	60049	3427
473	60172	3300
474	60274	3172
475	60369	3043
476	60476	2916
477	60592	2788
478	60705	2661
479	60827	2534
480	60939	2407
481	61064	2280
482	61186	2153
483	61305	2026
484	61445	1900
485	61527	1772
486	61656	1645
487	61787	1519
488	61897	1392
489	62034	1266
490	62150	1139
491	62254	1012
492	62410	886
493	62533	759
494	62672	633
495	62784	506
496	62896	379
497	63015	253
498	63144	126
499	63262	0
